datetime,AQI
2026-02-15 14:00:00+05:30,127.0
2026-02-15 17:00:00+05:30,87.0
2026-02-15 17:00:00+05:30,87.0
2026-02-15 17:00:00+05:30,87.0
2026-02-15 17:00:00+05:30,87.0
2026-02-15 18:00:00+05:30,90.0
2026-02-15 18:00:00,90.0
2026-02-15 18:00:00,90.0
2026-02-15 18:00:00,90.0
2026-02-15 18:00:00,90.0
2026-02-15 18:52:13.308951,136.7
2026-02-15 18:54:52.937026,136.7
2026-02-15 18:59:00.775161,136.7
2026-02-15 18:59:37.831016,136.7
2026-02-15 19:01:36.117970,134.3
2026-02-15 19:01:56.942266,134.3
2026-02-15 19:03:43.327513,135.2
2026-02-15 19:04:07.621949,135.2
2026-02-15 19:44:54.223510,149.7
2026-02-15 20:06:32.977001,168.3
2026-02-15 20:06:55.601492,168.3
2026-02-15 20:14:49.220496,168.3
