Date,00:00:00,01:00:00,02:00:00,03:00:00,04:00:00,05:00:00,06:00:00,07:00:00,08:00:00,09:00:00,10:00:00,11:00:00,12:00:00,13:00:00,14:00:00,15:00:00,16:00:00,17:00:00,18:00:00,19:00:00,20:00:00,21:00:00,22:00:00,23:00:00
2026-02-14,,,,,,,,,,,,,,,,,,86.0,101.0,113.0,,,,
2026-02-15,,,,,193.0,184.0,171.0,,,,,,,,127.0,,,,,,,,,
